ID,Lang,Blk,BlkTrlNum,TrlNum,Tar,Cue,TarPos,TarDir,Acc,RT
S106,M,B1,BT91,T91,Incongruent,None,Above,Left,1,598.39
S106,M,B1,BT92,T92,Incongruent,Double,Above,Right,1,465.75
S106,M,B1,BT93,T93,Congruent,Central,Below,Left,1,486.19
S106,M,B1,BT94,T94,Incongruent,None,Below,Left,1,628.46
S106,M,B1,BT95,T95,Congruent,Central,Below,Right,1,442.49
S106,M,B1,BT96,T96,Incongruent,None,Below,Right,1,608.54
S106,M,B2,BT1,T97,Congruent,Spatial,Below,Right,1,372.59
S106,M,B2,BT2,T98,Incongruent,None,Above,Right,1,800.61
S106,M,B2,BT3,T99,Congruent,None,Below,Left,1,511.52
S106,M,B2,BT4,T100,Incongruent,Double,Below,Right,1,697.63
S106,M,B2,BT5,T101,Incongruent,Central,Below,Left,1,703.77
S106,M,B2,BT6,T102,Incongruent,None,Below,Left,1,531.44
S106,M,B2,BT7,T103,Congruent,Central,Above,Left,1,555.56
S106,M,B2,BT8,T104,Congruent,Spatial,Above,Right,1,411.68
S106,M,B2,BT9,T105,Incongruent,None,Above,Right,1,743.93
S106,M,B2,BT10,T106,Incongruent,Central,Below,Right,1,558.31
S106,M,B2,BT11,T107,Congruent,Central,Above,Left,1,516.62
S106,M,B2,BT12,T108,Congruent,Central,Below,Right,1,415.87
S106,M,B2,BT13,T109,Congruent,Central,Below,Left,1,418.57
S106,M,B2,BT14,T110,Congruent,Spatial,Below,Left,1,411.05
S106,M,B2,BT15,T111,Incongruent,Spatial,Below,Right,1,420.23
S106,M,B2,BT16,T112,Incongruent,Spatial,Below,Right,1,400.02
S106,M,B2,BT17,T113,Incongruent,None,Below,Right,1,620.87
S106,M,B2,BT18,T114,Incongruent,Central,Above,Left,0,549.77
S106,M,B2,BT19,T115,Incongruent,Spatial,Above,Right,0,439.54
S106,M,B2,BT20,T116,Congruent,Central,Above,Right,1,690.68
S106,M,B2,BT21,T117,Congruent,None,Above,Left,1,615.75
S106,M,B2,BT22,T118,Incongruent,Double,Above,Right,1,561.13
S106,M,B2,BT23,T119,Incongruent,Central,Above,Right,1,647.23
S106,M,B2,BT24,T120,Congruent,Spatial,Below,Right,1,388.05
S106,M,B2,BT25,T121,Incongruent,None,Below,Left,0,444.55
S106,M,B2,BT26,T122,Incongruent,Double,Below,Left,1,619.89
